Project Name,Package Name,Type Name,LCOM,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,FANIN,FANOUT
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,64,13,0,0,0,3
.,org.gjt.sp.jedit.options,ListHandler,-1,0,0,1,1,5,1,0,0,0,0
.,org.gjt.sp.jedit.options,ToolBarEditDialog,0.25,12,0,8,6,221,31,0,1,0,11
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,24,8,0,0,0,4
.,org.gjt.sp.jedit.options,ActionSetCompare,-1,0,0,1,1,5,1,0,0,0,2
.,org.gjt.sp.jedit.options,PluginOptions,0.857142857,1,0,7,5,50,13,0,2,0,4
.,org.gjt.sp.jedit.options,NoPluginsPane,-1,0,0,1,1,5,1,0,2,0,0
.,org.gjt.sp.jedit.options,BrowserOptionPane,0.666666667,10,0,3,3,70,8,0,2,0,1
.,org.gjt.sp.jedit.options,ContextOptionPane,0.75,1,0,4,1,32,4,0,3,0,1
.,org.gjt.sp.jedit.options,AppearanceOptionPane,0.285714286,16,1,7,3,145,16,0,2,0,6
.,org.gjt.sp.jedit.options,MouseOptionPane,0.666666667,7,0,3,2,59,9,0,2,0,1
.,org.gjt.sp.jedit.options,SaveBackupOptionPane,0.4,13,0,5,3,125,13,0,2,0,3
.,org.gjt.sp.jedit.options,MyActionListener,-1,0,0,1,1,6,2,0,0,0,2
.,org.gjt.sp.jedit.options,MyActionListener2,-1,0,0,1,1,6,2,0,0,0,2
.,org.gjt.sp.jedit.options,IntegerInputVerifier,-1,0,0,1,1,14,2,0,0,0,0
.,org.gjt.sp.jedit.options,IconTheme,1,1,0,3,3,13,3,0,0,1,2
.,org.gjt.sp.jedit.options,ViewOptionPane,0.333333333,22,0,6,4,172,20,0,2,0,5
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,19,12,0,0,0,0
.,org.gjt.sp.jedit.options,GeneralOptionPane,0.5,19,4,6,4,166,14,0,2,3,1
.,org.gjt.sp.jedit.options,LangCellRenderer,-1,0,0,1,1,8,2,0,0,0,1
.,org.gjt.sp.jedit.options,GutterOptionPane,0.181818182,27,0,11,9,161,16,0,2,2,8
.,org.gjt.sp.jedit.visitors,JEditVisitor,-1,0,0,3,0,25,3,1,0,2,3
.,org.gjt.sp.jedit.visitors,SaveCaretInfoVisitor,-1,0,0,1,1,9,1,0,2,0,1
.,org.gjt.sp.jedit.visitors,JEditVisitorAdapter,-1,0,0,3,3,26,3,2,1,0,3
.,org.gjt.sp.jedit.bufferset,BufferSetListener,-1,0,0,4,0,30,4,2,0,1,1
